,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,47.043534762833005,76.09170305676857,13.366336633663366,0.0,0.0,0.0,0.0
2nd,6.432748538011696,8.624454148471616,9.900990099009901,0.0,0.0,0.0,0.0
3rd,2.3391812865497075,1.965065502183406,8.910891089108912,0.0,0.0,0.0,0.0
4th,3.378817413905133,2.8384279475982535,12.871287128712872,0.0,0.0,0.0,0.0
5th,2.599090318388564,2.510917030567686,8.415841584158416,0.0,0.0,0.0,0.0
6th,1.4944769330734242,2.183406113537118,1.4851485148514851,0.0,0.0,0.0,0.0
7th,0.5847953216374269,0.982532751091703,0.0,0.0,0.0,0.0,0.0
8th,0.5847953216374269,0.982532751091703,0.0,0.0,0.0,0.0,0.0
9th,0.7797270955165692,1.3100436681222707,0.0,0.0,0.0,0.0,0.0
10th,0.1299545159194282,0.2183406113537118,0.0,0.0,0.0,0.0,0.0
11st,0.5847953216374269,0.982532751091703,0.0,0.0,0.0,0.0,0.0
12nd,0.3898635477582846,0.6550218340611353,0.0,0.0,0.0,0.0,0.0
13rd,0.1299545159194282,0.2183406113537118,0.0,0.0,0.0,0.0,0.0
14th,0.2599090318388564,0.4366812227074236,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
