,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,49.772579597141004,80.78602620087337,12.871287128712872,0.0,0.0,0.0,0.0
2nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4th,0.5198180636777128,0.8733624454148472,0.0,0.0,0.0,0.0,0.0
5th,0.1299545159194282,0.2183406113537118,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
8th,1.4294996751137101,2.4017467248908297,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11st,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12nd,2.014294996751137,3.3842794759825328,0.0,0.0,0.0,0.0,0.0
13rd,2.014294996751137,3.3842794759825328,0.0,0.0,0.0,0.0,0.0
14th,7.667316439246264,8.406113537117903,20.297029702970296,0.0,0.0,0.0,0.0
15th,3.1189083820662766,0.4366812227074236,21.782178217821784,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
