,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,27.74528914879792,42.903930131004365,16.831683168316832,0.0,0.0,0.0,0.0
2nd,18.38856400259909,28.16593886462882,12.376237623762377,0.0,0.0,0.0,0.0
3rd,9.746588693957115,14.847161572052402,6.930693069306931,0.0,0.0,0.0,0.0
4th,5.39311241065627,8.187772925764191,3.9603960396039604,0.0,0.0,0.0,0.0
5th,2.2742040285899936,3.3842794759825328,1.9801980198019802,0.0,0.0,0.0,0.0
6th,1.1046133853151396,1.8558951965065502,0.0,0.0,0.0,0.0,0.0
7th,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
8th,0.1949317738791423,0.2183406113537118,0.49504950495049505,0.0,0.0,0.0,0.0
9th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11st,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,65.10721247563353,100.0,42.57425742574257,0.0,0.0,0.0,0.0
not_placed,34.89278752436647,0.0,57.42574257425743,100.0,100.0,100.0,100.0
