,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,45.67901234567901,74.12663755458516,11.881188118811881,0.0,0.0,0.0,0.0
2nd,9.096816114359974,13.537117903930131,7.920792079207921,0.0,0.0,0.0,0.0
3rd,3.0539311241065628,2.2925764192139737,12.871287128712872,0.0,0.0,0.0,0.0
4th,3.7037037037037037,2.7292576419213974,15.841584158415841,0.0,0.0,0.0,0.0
5th,1.4294996751137101,1.6375545851528384,3.4653465346534653,0.0,0.0,0.0,0.0
6th,0.649772579597141,0.4366812227074236,2.9702970297029703,0.0,0.0,0.0,0.0
7th,0.2599090318388564,0.4366812227074236,0.0,0.0,0.0,0.0,0.0
8th,0.5198180636777128,0.8733624454148472,0.0,0.0,0.0,0.0,0.0
9th,0.2599090318388564,0.4366812227074236,0.0,0.0,0.0,0.0,0.0
10th,0.3248862897985705,0.5458515283842795,0.0,0.0,0.0,0.0,0.0
11th,0.4548408057179987,0.7641921397379913,0.0,0.0,0.0,0.0,0.0
12th,0.3898635477582846,0.6550218340611353,0.0,0.0,0.0,0.0,0.0
13th,0.4548408057179987,0.7641921397379913,0.0,0.0,0.0,0.0,0.0
14th,0.3898635477582846,0.6550218340611353,0.0,0.0,0.0,0.0,0.0
15th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
