,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
2nd,3.183885640025991,5.349344978165939,0.0,0.0,0.0,0.0,0.0
3rd,4.808317089018844,8.078602620087336,0.0,0.0,0.0,0.0,0.0
4th,4.613385315139701,7.751091703056769,0.0,0.0,0.0,0.0,0.0
5th,7.862248213125406,13.209606986899564,0.0,0.0,0.0,0.0,0.0
6th,4.288499025341131,7.205240174672489,0.0,0.0,0.0,0.0,0.0
7th,4.938271604938271,8.296943231441048,0.0,0.0,0.0,0.0,0.0
8th,3.508771929824561,5.895196506550218,0.0,0.0,0.0,0.0,0.0
9th,4.093567251461988,0.6550218340611353,28.217821782178216,0.0,0.0,0.0,0.0
10th,3.508771929824561,0.0,26.73267326732673,0.0,0.0,0.0,0.0
11th,4.418453541260559,7.423580786026201,0.0,0.0,0.0,0.0,0.0
12th,8.122157244964262,13.646288209606986,0.0,0.0,0.0,0.0,0.0
13th,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
14th,4.158544509421702,6.986899563318778,0.0,0.0,0.0,0.0,0.0
15th,2.599090318388564,4.366812227074236,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
