,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,7.862248213125406,12.008733624454148,5.445544554455446,0.0,0.0,0.0,0.0
2nd,3.313840155945419,5.131004366812227,1.9801980198019802,0.0,0.0,0.0,0.0
3rd,4.418453541260559,6.986899563318778,1.9801980198019802,0.0,0.0,0.0,0.0
4th,4.808317089018844,7.532751091703057,2.4752475247524752,0.0,0.0,0.0,0.0
5th,2.599090318388564,4.148471615720524,0.9900990099009901,0.0,0.0,0.0,0.0
6th,4.158544509421702,6.11353711790393,3.9603960396039604,0.0,0.0,0.0,0.0
7th,8.122157244964262,12.882096069868995,3.4653465346534653,0.0,0.0,0.0,0.0
8th,3.508771929824561,4.9126637554585155,4.455445544554456,0.0,0.0,0.0,0.0
9th,3.183885640025991,4.6943231441048034,2.9702970297029703,0.0,0.0,0.0,0.0
10th,4.093567251461988,5.895196506550218,4.455445544554456,0.0,0.0,0.0,0.0
11th,4.938271604938271,7.314410480349345,4.455445544554456,0.0,0.0,0.0,0.0
12th,4.288499025341131,6.877729257641922,1.4851485148514851,0.0,0.0,0.0,0.0
13th,3.508771929824561,5.458515283842795,1.9801980198019802,0.0,0.0,0.0,0.0
14th,4.613385315139701,7.532751091703057,0.9900990099009901,0.0,0.0,0.0,0.0
15th,1.6894087069525665,2.510917030567686,1.4851485148514851,0.0,0.0,0.0,0.0
placed,65.10721247563353,100.0,42.57425742574257,0.0,0.0,0.0,0.0
not_placed,34.89278752436647,0.0,57.42574257425743,100.0,100.0,100.0,100.0
