,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,4.288499025341131,6.7685589519650655,1.9801980198019802,0.0,0.0,0.0,0.0
2nd,4.613385315139701,6.331877729257642,6.435643564356436,0.0,0.0,0.0,0.0
3rd,3.183885640025991,4.8034934497816595,2.4752475247524752,0.0,0.0,0.0,0.0
4th,3.508771929824561,5.458515283842795,1.9801980198019802,0.0,0.0,0.0,0.0
5th,4.093567251461988,6.441048034934497,1.9801980198019802,0.0,0.0,0.0,0.0
6th,4.158544509421702,6.550218340611353,1.9801980198019802,0.0,0.0,0.0,0.0
7th,2.599090318388564,4.039301310043668,1.4851485148514851,0.0,0.0,0.0,0.0
8th,8.122157244964262,12.77292576419214,3.9603960396039604,0.0,0.0,0.0,0.0
9th,3.313840155945419,5.131004366812227,1.9801980198019802,0.0,0.0,0.0,0.0
10th,4.808317089018844,7.205240174672489,3.9603960396039604,0.0,0.0,0.0,0.0
11th,4.418453541260559,6.877729257641922,2.4752475247524752,0.0,0.0,0.0,0.0
12th,4.938271604938271,7.641921397379913,2.9702970297029703,0.0,0.0,0.0,0.0
13th,3.313840155945419,5.349344978165939,0.9900990099009901,0.0,0.0,0.0,0.0
14th,7.862248213125406,11.899563318777293,5.9405940594059405,0.0,0.0,0.0,0.0
15th,1.6894087069525665,2.7292576419213974,0.49504950495049505,0.0,0.0,0.0,0.0
placed,64.91228070175438,100.0,41.08910891089109,0.0,0.0,0.0,0.0
not_placed,35.08771929824562,0.0,58.91089108910891,100.0,100.0,100.0,100.0
