,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,4.093567251461988,6.550218340611353,1.4851485148514851,0.0,0.0,0.0,0.0
2nd,3.313840155945419,5.021834061135372,2.4752475247524752,0.0,0.0,0.0,0.0
3rd,4.938271604938271,7.532751091703057,3.4653465346534653,0.0,0.0,0.0,0.0
4th,4.613385315139701,6.550218340611353,5.445544554455446,0.0,0.0,0.0,0.0
5th,2.599090318388564,4.039301310043668,1.4851485148514851,0.0,0.0,0.0,0.0
6th,3.183885640025991,5.131004366812227,0.9900990099009901,0.0,0.0,0.0,0.0
7th,3.313840155945419,5.021834061135372,2.4752475247524752,0.0,0.0,0.0,0.0
8th,4.808317089018844,7.096069868995633,4.455445544554456,0.0,0.0,0.0,0.0
9th,7.862248213125406,12.22707423580786,4.455445544554456,0.0,0.0,0.0,0.0
10th,3.508771929824561,5.786026200873362,0.49504950495049505,0.0,0.0,0.0,0.0
11th,4.288499025341131,6.550218340611353,2.9702970297029703,0.0,0.0,0.0,0.0
12th,3.508771929824561,5.458515283842795,1.9801980198019802,0.0,0.0,0.0,0.0
13th,4.418453541260559,6.986899563318778,1.9801980198019802,0.0,0.0,0.0,0.0
14th,4.158544509421702,6.6593886462882095,1.4851485148514851,0.0,0.0,0.0,0.0
15th,6.367771280051982,9.388646288209607,5.9405940594059405,0.0,0.0,0.0,0.0
placed,64.9772579597141,100.0,41.584158415841586,0.0,0.0,0.0,0.0
not_placed,35.0227420402859,0.0,58.415841584158414,100.0,100.0,100.0,100.0
