,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,3.313840155945419,5.021834061135372,2.4752475247524752,0.0,0.0,0.0,0.0
2nd,3.313840155945419,5.131004366812227,1.9801980198019802,0.0,0.0,0.0,0.0
3rd,3.183885640025991,4.9126637554585155,1.9801980198019802,0.0,0.0,0.0,0.0
4th,8.122157244964262,13.100436681222707,2.4752475247524752,0.0,0.0,0.0,0.0
5th,2.599090318388564,4.039301310043668,1.4851485148514851,0.0,0.0,0.0,0.0
6th,4.808317089018844,7.423580786026201,2.9702970297029703,0.0,0.0,0.0,0.0
7th,4.613385315139701,7.096069868995633,2.9702970297029703,0.0,0.0,0.0,0.0
8th,4.938271604938271,7.96943231441048,1.4851485148514851,0.0,0.0,0.0,0.0
9th,3.508771929824561,4.8034934497816595,4.9504950495049505,0.0,0.0,0.0,0.0
10th,4.288499025341131,6.222707423580786,4.455445544554456,0.0,0.0,0.0,0.0
11th,4.418453541260559,6.877729257641922,2.4752475247524752,0.0,0.0,0.0,0.0
12th,4.158544509421702,6.331877729257642,2.9702970297029703,0.0,0.0,0.0,0.0
13th,3.508771929824561,5.458515283842795,1.9801980198019802,0.0,0.0,0.0,0.0
14th,7.862248213125406,12.336244541484715,3.9603960396039604,0.0,0.0,0.0,0.0
15th,2.1442495126705654,3.2751091703056767,1.4851485148514851,0.0,0.0,0.0,0.0
placed,64.78232618583496,100.0,40.0990099009901,0.0,0.0,0.0,0.0
not_placed,35.21767381416504,0.0,59.9009900990099,100.0,100.0,100.0,100.0
