,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,3.508771929824561,3.7117903930131004,9.900990099009901,0.0,0.0,0.0,0.0
2nd,7.862248213125406,12.336244541484715,3.9603960396039604,0.0,0.0,0.0,0.0
3rd,4.093567251461988,5.458515283842795,6.435643564356436,0.0,0.0,0.0,0.0
4th,4.288499025341131,6.7685589519650655,1.9801980198019802,0.0,0.0,0.0,0.0
5th,4.158544509421702,6.6593886462882095,1.4851485148514851,0.0,0.0,0.0,0.0
6th,4.613385315139701,7.314410480349345,1.9801980198019802,0.0,0.0,0.0,0.0
7th,3.508771929824561,5.676855895196507,0.9900990099009901,0.0,0.0,0.0,0.0
8th,3.313840155945419,5.240174672489083,1.4851485148514851,0.0,0.0,0.0,0.0
9th,4.808317089018844,7.205240174672489,3.9603960396039604,0.0,0.0,0.0,0.0
10th,2.599090318388564,4.25764192139738,0.49504950495049505,0.0,0.0,0.0,0.0
11th,3.313840155945419,5.349344978165939,0.9900990099009901,0.0,0.0,0.0,0.0
12th,4.418453541260559,6.7685589519650655,2.9702970297029703,0.0,0.0,0.0,0.0
13th,4.938271604938271,8.078602620087336,0.9900990099009901,0.0,0.0,0.0,0.0
14th,8.122157244964262,13.100436681222707,2.4752475247524752,0.0,0.0,0.0,0.0
15th,1.299545159194282,2.074235807860262,0.49504950495049505,0.0,0.0,0.0,0.0
placed,64.84730344379467,100.0,40.59405940594059,0.0,0.0,0.0,0.0
not_placed,35.15269655620533,0.0,59.40594059405941,100.0,100.0,100.0,100.0
