,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,4.808317089018844,7.423580786026201,2.9702970297029703,0.0,0.0,0.0,0.0
2nd,4.158544509421702,6.550218340611353,1.9801980198019802,0.0,0.0,0.0,0.0
3rd,3.183885640025991,5.021834061135372,1.4851485148514851,0.0,0.0,0.0,0.0
4th,4.418453541260559,6.986899563318778,1.9801980198019802,0.0,0.0,0.0,0.0
5th,3.508771929824561,5.567685589519651,1.4851485148514851,0.0,0.0,0.0,0.0
6th,3.313840155945419,5.240174672489083,1.4851485148514851,0.0,0.0,0.0,0.0
7th,8.122157244964262,12.445414847161572,5.445544554455446,0.0,0.0,0.0,0.0
8th,4.288499025341131,6.7685589519650655,1.9801980198019802,0.0,0.0,0.0,0.0
9th,7.862248213125406,11.572052401746724,7.425742574257426,0.0,0.0,0.0,0.0
10th,4.093567251461988,6.331877729257642,2.4752475247524752,0.0,0.0,0.0,0.0
11th,4.938271604938271,7.205240174672489,4.9504950495049505,0.0,0.0,0.0,0.0
12th,3.508771929824561,5.567685589519651,1.4851485148514851,0.0,0.0,0.0,0.0
13th,2.599090318388564,4.039301310043668,1.4851485148514851,0.0,0.0,0.0,0.0
14th,3.313840155945419,5.240174672489083,1.4851485148514851,0.0,0.0,0.0,0.0
15th,2.599090318388564,4.039301310043668,1.4851485148514851,0.0,0.0,0.0,0.0
placed,64.71734892787525,100.0,39.603960396039604,0.0,0.0,0.0,0.0
not_placed,35.28265107212476,0.0,60.396039603960396,100.0,100.0,100.0,100.0
