,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,4.158544509421702,5.895196506550218,4.9504950495049505,0.0,0.0,0.0,0.0
2nd,4.613385315139701,7.532751091703057,0.9900990099009901,0.0,0.0,0.0,0.0
3rd,3.313840155945419,4.9126637554585155,2.9702970297029703,0.0,0.0,0.0,0.0
4th,3.508771929824561,5.458515283842795,1.9801980198019802,0.0,0.0,0.0,0.0
5th,3.183885640025991,5.131004366812227,0.9900990099009901,0.0,0.0,0.0,0.0
6th,4.938271604938271,7.314410480349345,4.455445544554456,0.0,0.0,0.0,0.0
7th,7.862248213125406,12.445414847161572,3.4653465346534653,0.0,0.0,0.0,0.0
8th,2.599090318388564,3.7117903930131004,2.9702970297029703,0.0,0.0,0.0,0.0
9th,8.122157244964262,12.008733624454148,7.425742574257426,0.0,0.0,0.0,0.0
10th,4.808317089018844,7.205240174672489,3.9603960396039604,0.0,0.0,0.0,0.0
11th,3.313840155945419,5.240174672489083,1.4851485148514851,0.0,0.0,0.0,0.0
12th,4.418453541260559,6.877729257641922,2.4752475247524752,0.0,0.0,0.0,0.0
13th,4.288499025341131,6.7685589519650655,1.9801980198019802,0.0,0.0,0.0,0.0
14th,4.093567251461988,6.7685589519650655,0.49504950495049505,0.0,0.0,0.0,0.0
15th,1.8193632228719947,2.7292576419213974,1.4851485148514851,0.0,0.0,0.0,0.0
placed,65.04223521767382,100.0,42.07920792079208,0.0,0.0,0.0,0.0
not_placed,34.95776478232619,0.0,57.92079207920792,100.0,100.0,100.0,100.0
