,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,29.62962962962963,45.633187772925766,18.81188118811881,0.0,0.0,0.0,0.0
2nd,3.96361273554256,6.331877729257642,1.4851485148514851,0.0,0.0,0.0,0.0
3rd,2.079272254710851,3.165938864628821,1.4851485148514851,0.0,0.0,0.0,0.0
4th,2.2742040285899936,3.6026200873362444,0.9900990099009901,0.0,0.0,0.0,0.0
5th,2.4691358024691357,3.8209606986899565,1.4851485148514851,0.0,0.0,0.0,0.0
6th,2.079272254710851,3.165938864628821,1.4851485148514851,0.0,0.0,0.0,0.0
7th,2.53411306042885,3.930131004366812,1.4851485148514851,0.0,0.0,0.0,0.0
8th,2.9889538661468484,4.8034934497816595,0.9900990099009901,0.0,0.0,0.0,0.0
9th,1.8193632228719947,2.947598253275109,0.49504950495049505,0.0,0.0,0.0,0.0
10th,2.014294996751137,3.2751091703056767,0.49504950495049505,0.0,0.0,0.0,0.0
11st,4.678362573099415,6.7685589519650655,4.9504950495049505,0.0,0.0,0.0,0.0
12nd,5.328135152696556,7.860262008733624,4.9504950495049505,0.0,0.0,0.0,0.0
13rd,1.1695906432748537,1.6375545851528384,1.4851485148514851,0.0,0.0,0.0,0.0
14th,0.7147498375568551,1.091703056768559,0.49504950495049505,0.0,0.0,0.0,0.0
15th,1.2345679012345678,1.965065502183406,0.49504950495049505,0.0,0.0,0.0,0.0
placed,64.9772579597141,100.0,41.584158415841586,0.0,0.0,0.0,0.0
not_placed,35.0227420402859,0.0,58.415841584158414,100.0,100.0,100.0,100.0
