,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,46.26380766731644,75.0,12.376237623762377,0.0,0.0,0.0,0.0
2nd,0.2599090318388564,0.4366812227074236,0.0,0.0,0.0,0.0,0.0
3rd,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
4th,0.2599090318388564,0.4366812227074236,0.0,0.0,0.0,0.0,0.0
5th,1.299545159194282,2.183406113537118,0.0,0.0,0.0,0.0,0.0
6th,0.649772579597141,1.091703056768559,0.0,0.0,0.0,0.0,0.0
7th,0.2599090318388564,0.4366812227074236,0.0,0.0,0.0,0.0,0.0
8th,0.9746588693957114,1.6375545851528384,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,0.649772579597141,1.091703056768559,0.0,0.0,0.0,0.0,0.0
11st,0.8447043534762833,1.4192139737991267,0.0,0.0,0.0,0.0,0.0
12nd,4.678362573099415,7.860262008733624,0.0,0.0,0.0,0.0,0.0
13rd,6.432748538011696,6.11353711790393,21.287128712871286,0.0,0.0,0.0,0.0
14th,1.5594541910331383,1.4192139737991267,5.445544554455446,0.0,0.0,0.0,0.0
15th,2.404158544509422,0.5458515283842795,15.841584158415841,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
