,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,47.10851202079272,76.63755458515284,11.386138613861386,0.0,0.0,0.0,0.0
2nd,6.887589343729695,8.842794759825328,12.376237623762377,0.0,0.0,0.0,0.0
3rd,2.9239766081871346,1.8558951965065502,13.861386138613861,0.0,0.0,0.0,0.0
4th,2.2742040285899936,1.8558951965065502,8.910891089108912,0.0,0.0,0.0,0.0
5th,1.1695906432748537,1.4192139737991267,2.4752475247524752,0.0,0.0,0.0,0.0
6th,1.7543859649122806,1.6375545851528384,5.9405940594059405,0.0,0.0,0.0,0.0
7th,0.649772579597141,1.091703056768559,0.0,0.0,0.0,0.0,0.0
8th,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
9th,0.9096816114359974,1.5283842794759825,0.0,0.0,0.0,0.0,0.0
10th,0.7797270955165692,1.3100436681222707,0.0,0.0,0.0,0.0,0.0
11st,0.7147498375568551,1.2008733624454149,0.0,0.0,0.0,0.0,0.0
12nd,0.649772579597141,1.091703056768559,0.0,0.0,0.0,0.0,0.0
13rd,0.1299545159194282,0.2183406113537118,0.0,0.0,0.0,0.0,0.0
14th,0.3898635477582846,0.6550218340611353,0.0,0.0,0.0,0.0,0.0
15th,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
