,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,47.043534762833005,76.63755458515284,10.891089108910892,0.0,0.0,0.0,0.0
2nd,0.3898635477582846,0.6550218340611353,0.0,0.0,0.0,0.0,0.0
3rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5th,0.4548408057179987,0.7641921397379913,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,0.5847953216374269,0.982532751091703,0.0,0.0,0.0,0.0,0.0
8th,1.1695906432748537,1.965065502183406,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11st,0.9746588693957114,1.6375545851528384,0.0,0.0,0.0,0.0,0.0
12nd,2.3391812865497075,3.930131004366812,0.0,0.0,0.0,0.0,0.0
13rd,2.53411306042885,4.25764192139738,0.0,0.0,0.0,0.0,0.0
14th,7.862248213125406,8.624454148471616,20.792079207920793,0.0,0.0,0.0,0.0
15th,3.378817413905133,0.5458515283842795,23.26732673267327,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
