,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,38.33658219623132,58.624454148471614,26.237623762376238,0.0,0.0,0.0,0.0
2nd,3.183885640025991,5.131004366812227,0.9900990099009901,0.0,0.0,0.0,0.0
3rd,1.5594541910331383,2.510917030567686,0.49504950495049505,0.0,0.0,0.0,0.0
4th,2.014294996751137,3.056768558951965,1.4851485148514851,0.0,0.0,0.0,0.0
5th,1.1695906432748537,1.8558951965065502,0.49504950495049505,0.0,0.0,0.0,0.0
6th,0.4548408057179987,0.4366812227074236,1.4851485148514851,0.0,0.0,0.0,0.0
7th,1.7543859649122806,2.7292576419213974,0.9900990099009901,0.0,0.0,0.0,0.0
8th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
9th,0.4548408057179987,0.6550218340611353,0.49504950495049505,0.0,0.0,0.0,0.0
10th,0.3898635477582846,0.5458515283842795,0.49504950495049505,0.0,0.0,0.0,0.0
11st,3.313840155945419,5.021834061135372,2.4752475247524752,0.0,0.0,0.0,0.0
12nd,4.678362573099415,7.205240174672489,2.9702970297029703,0.0,0.0,0.0,0.0
13rd,3.378817413905133,5.349344978165939,1.4851485148514851,0.0,0.0,0.0,0.0
14th,0.8447043534762833,1.3100436681222707,0.49504950495049505,0.0,0.0,0.0,0.0
15th,3.4437946718648473,5.458515283842795,1.4851485148514851,0.0,0.0,0.0,0.0
placed,65.04223521767382,100.0,42.07920792079208,0.0,0.0,0.0,0.0
not_placed,34.95776478232619,0.0,57.92079207920792,100.0,100.0,100.0,100.0
