,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,42.49512670565302,70.52401746724891,3.9603960396039604,0.0,0.0,0.0,0.0
2nd,3.1189083820662766,5.240174672489083,0.0,0.0,0.0,0.0,0.0
3rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4th,1.8843404808317088,3.165938864628821,0.0,0.0,0.0,0.0,0.0
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,1.4294996751137101,2.4017467248908297,0.0,0.0,0.0,0.0,0.0
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11st,3.183885640025991,5.349344978165939,0.0,0.0,0.0,0.0,0.0
12nd,5.198180636777128,8.733624454148472,0.0,0.0,0.0,0.0,0.0
13rd,1.2345679012345678,2.074235807860262,0.0,0.0,0.0,0.0,0.0
14th,4.678362573099415,2.510917030567686,24.257425742574256,0.0,0.0,0.0,0.0
15th,3.508771929824561,0.0,26.73267326732673,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
