,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,45.67901234567901,73.90829694323143,12.871287128712872,0.0,0.0,0.0,0.0
2nd,0.3248862897985705,0.5458515283842795,0.0,0.0,0.0,0.0,0.0
3rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4th,0.649772579597141,1.091703056768559,0.0,0.0,0.0,0.0,0.0
5th,0.8447043534762833,1.4192139737991267,0.0,0.0,0.0,0.0,0.0
6th,0.8447043534762833,1.4192139737991267,0.0,0.0,0.0,0.0,0.0
7th,0.3898635477582846,0.6550218340611353,0.0,0.0,0.0,0.0,0.0
8th,1.6894087069525665,2.8384279475982535,0.0,0.0,0.0,0.0,0.0
9th,0.1299545159194282,0.2183406113537118,0.0,0.0,0.0,0.0,0.0
10th,0.5847953216374269,0.982532751091703,0.0,0.0,0.0,0.0,0.0
11th,0.5198180636777128,0.8733624454148472,0.0,0.0,0.0,0.0,0.0
12th,3.5737491877842755,3.3842794759825328,11.881188118811881,0.0,0.0,0.0,0.0
13th,2.9239766081871346,4.9126637554585155,0.0,0.0,0.0,0.0,0.0
14th,6.042884990253412,6.7685589519650655,15.346534653465346,0.0,0.0,0.0,0.0
15th,2.53411306042885,0.982532751091703,14.851485148514852,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
