,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,23.846653671215076,36.46288209606987,16.336633663366335,0.0,0.0,0.0,0.0
2nd,4.353476283300845,6.7685589519650655,2.4752475247524752,0.0,0.0,0.0,0.0
3rd,3.96361273554256,6.222707423580786,1.9801980198019802,0.0,0.0,0.0,0.0
4th,3.5737491877842755,5.349344978165939,2.9702970297029703,0.0,0.0,0.0,0.0
5th,4.353476283300845,6.7685589519650655,2.4752475247524752,0.0,0.0,0.0,0.0
6th,3.378817413905133,5.021834061135372,2.9702970297029703,0.0,0.0,0.0,0.0
7th,3.833658219623132,6.11353711790393,1.4851485148514851,0.0,0.0,0.0,0.0
8th,3.7686809616634176,6.004366812227074,1.4851485148514851,0.0,0.0,0.0,0.0
9th,2.729044834307992,3.8209606986899565,3.4653465346534653,0.0,0.0,0.0,0.0
10th,2.9889538661468484,4.9126637554585155,0.49504950495049505,0.0,0.0,0.0,0.0
11th,4.74333983105913,7.532751091703057,1.9801980198019802,0.0,0.0,0.0,0.0
12th,2.664067576348278,3.930131004366812,2.4752475247524752,0.0,0.0,0.0,0.0
13th,0.7147498375568551,1.091703056768559,0.49504950495049505,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,64.91228070175438,100.0,41.08910891089109,0.0,0.0,0.0,0.0
not_placed,35.08771929824562,0.0,58.91089108910891,100.0,100.0,100.0,100.0
