,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,27.290448343079923,42.5764192139738,14.851485148514852,0.0,0.0,0.0,0.0
2nd,17.86874593892138,26.965065502183407,13.861386138613861,0.0,0.0,0.0,0.0
3rd,3.5737491877842755,5.458515283842795,2.4752475247524752,0.0,0.0,0.0,0.0
4th,2.599090318388564,3.7117903930131004,2.9702970297029703,0.0,0.0,0.0,0.0
5th,3.1189083820662766,5.021834061135372,0.9900990099009901,0.0,0.0,0.0,0.0
6th,3.0539311241065628,5.021834061135372,0.49504950495049505,0.0,0.0,0.0,0.0
7th,2.2092267706302793,3.3842794759825328,1.4851485148514851,0.0,0.0,0.0,0.0
8th,2.3391812865497075,3.7117903930131004,0.9900990099009901,0.0,0.0,0.0,0.0
9th,1.1695906432748537,1.6375545851528384,1.4851485148514851,0.0,0.0,0.0,0.0
10th,0.9096816114359974,0.982532751091703,2.4752475247524752,0.0,0.0,0.0,0.0
11th,0.649772579597141,0.982532751091703,0.49504950495049505,0.0,0.0,0.0,0.0
12th,0.3248862897985705,0.5458515283842795,0.0,0.0,0.0,0.0,0.0
13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,0.0649772579597141,0.0,0.49504950495049505,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,65.17218973359324,100.0,43.06930693069307,0.0,0.0,0.0,0.0
not_placed,34.82781026640676,0.0,56.93069306930693,100.0,100.0,100.0,100.0
