,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,45.67901234567901,74.0174672489083,12.376237623762377,0.0,0.0,0.0,0.0
2nd,9.03183885640026,12.663755458515285,11.386138613861386,0.0,0.0,0.0,0.0
3rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12th,2.4691358024691357,4.148471615720524,0.0,0.0,0.0,0.0,0.0
13th,1.364522417153996,2.2925764192139737,0.0,0.0,0.0,0.0,0.0
14th,6.432748538011696,6.6593886462882095,18.81188118811881,0.0,0.0,0.0,0.0
15th,1.7543859649122806,0.2183406113537118,12.376237623762377,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
