,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,24.301494476933073,37.88209606986899,13.366336633663366,0.0,0.0,0.0,0.0
2nd,4.353476283300845,6.7685589519650655,2.4752475247524752,0.0,0.0,0.0,0.0
3rd,3.0539311241065628,4.585152838427947,2.4752475247524752,0.0,0.0,0.0,0.0
4th,3.183885640025991,4.6943231441048034,2.9702970297029703,0.0,0.0,0.0,0.0
5th,4.353476283300845,6.550218340611353,3.4653465346534653,0.0,0.0,0.0,0.0
6th,3.248862897985705,4.6943231441048034,3.4653465346534653,0.0,0.0,0.0,0.0
7th,2.664067576348278,4.366812227074236,0.49504950495049505,0.0,0.0,0.0,0.0
8th,4.613385315139701,7.096069868995633,2.9702970297029703,0.0,0.0,0.0,0.0
9th,2.404158544509422,3.7117903930131004,1.4851485148514851,0.0,0.0,0.0,0.0
10th,2.2092267706302793,3.2751091703056767,1.9801980198019802,0.0,0.0,0.0,0.0
11th,3.1189083820662766,4.6943231441048034,2.4752475247524752,0.0,0.0,0.0,0.0
12th,4.8732943469785575,7.751091703056769,1.9801980198019802,0.0,0.0,0.0,0.0
13th,2.4691358024691357,3.8209606986899565,1.4851485148514851,0.0,0.0,0.0,0.0
14th,0.1299545159194282,0.1091703056768559,0.49504950495049505,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,64.9772579597141,100.0,41.584158415841586,0.0,0.0,0.0,0.0
not_placed,35.0227420402859,0.0,58.415841584158414,100.0,100.0,100.0,100.0
