,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,48.01819363222872,77.7292576419214,13.366336633663366,0.0,0.0,0.0,0.0
2nd,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
3rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4th,0.8447043534762833,1.4192139737991267,0.0,0.0,0.0,0.0,0.0
5th,0.2599090318388564,0.4366812227074236,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,1.0396361273554255,1.7467248908296944,0.0,0.0,0.0,0.0,0.0
8th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
9th,0.5198180636777128,0.8733624454148472,0.0,0.0,0.0,0.0,0.0
10th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
11th,0.3248862897985705,0.5458515283842795,0.0,0.0,0.0,0.0,0.0
12th,0.5198180636777128,0.8733624454148472,0.0,0.0,0.0,0.0,0.0
13th,3.7037037037037037,6.222707423580786,0.0,0.0,0.0,0.0,0.0
14th,8.187134502923977,9.170305676855895,20.792079207920793,0.0,0.0,0.0,0.0
15th,2.9889538661468484,0.4366812227074236,20.792079207920793,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
