,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,11.306042884990253,17.467248908296945,6.930693069306931,0.0,0.0,0.0,0.0
2nd,3.96361273554256,6.550218340611353,0.49504950495049505,0.0,0.0,0.0,0.0
3rd,3.5737491877842755,5.567685589519651,1.9801980198019802,0.0,0.0,0.0,0.0
4th,4.353476283300845,6.7685589519650655,2.4752475247524752,0.0,0.0,0.0,0.0
5th,4.613385315139701,7.205240174672489,2.4752475247524752,0.0,0.0,0.0,0.0
6th,4.028589993502274,6.222707423580786,2.4752475247524752,0.0,0.0,0.0,0.0
7th,4.158544509421702,6.331877729257642,2.9702970297029703,0.0,0.0,0.0,0.0
8th,3.248862897985705,5.131004366812227,1.4851485148514851,0.0,0.0,0.0,0.0
9th,3.6387264457439894,5.458515283842795,2.9702970297029703,0.0,0.0,0.0,0.0
10th,3.4437946718648473,5.567685589519651,0.9900990099009901,0.0,0.0,0.0,0.0
11th,6.432748538011696,9.716157205240174,4.9504950495049505,0.0,0.0,0.0,0.0
12th,1.4294996751137101,2.4017467248908297,0.0,0.0,0.0,0.0,0.0
13th,5.7179987004548405,8.406113537117903,5.445544554455446,0.0,0.0,0.0,0.0
14th,3.378817413905133,5.458515283842795,0.9900990099009901,0.0,0.0,0.0,0.0
15th,1.4294996751137101,1.7467248908296944,2.9702970297029703,0.0,0.0,0.0,0.0
placed,64.71734892787525,100.0,39.603960396039604,0.0,0.0,0.0,0.0
not_placed,35.28265107212476,0.0,60.396039603960396,100.0,100.0,100.0,100.0
