,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,40.02599090318389,66.48471615720524,3.4653465346534653,0.0,0.0,0.0,0.0
2nd,1.4294996751137101,2.4017467248908297,0.0,0.0,0.0,0.0,0.0
3rd,0.7797270955165692,1.3100436681222707,0.0,0.0,0.0,0.0,0.0
4th,2.079272254710851,3.493449781659389,0.0,0.0,0.0,0.0,0.0
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th,2.1442495126705654,3.6026200873362444,0.0,0.0,0.0,0.0,0.0
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,3.248862897985705,5.458515283842795,0.0,0.0,0.0,0.0,0.0
11th,4.808317089018844,8.078602620087336,0.0,0.0,0.0,0.0,0.0
12th,2.3391812865497075,3.930131004366812,0.0,0.0,0.0,0.0,0.0
13th,5.7179987004548405,3.930131004366812,25.742574257425744,0.0,0.0,0.0,0.0
14th,0.7797270955165692,1.3100436681222707,0.0,0.0,0.0,0.0,0.0
15th,3.378817413905133,0.0,25.742574257425744,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
