,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,11.500974658869396,17.903930131004365,6.435643564356436,0.0,0.0,0.0,0.0
2nd,11.760883690708251,17.903930131004365,8.415841584158416,0.0,0.0,0.0,0.0
3rd,3.5737491877842755,5.895196506550218,0.49504950495049505,0.0,0.0,0.0,0.0
4th,3.6387264457439894,5.458515283842795,2.9702970297029703,0.0,0.0,0.0,0.0
5th,3.508771929824561,5.240174672489083,2.9702970297029703,0.0,0.0,0.0,0.0
6th,3.508771929824561,5.240174672489083,2.9702970297029703,0.0,0.0,0.0,0.0
7th,3.313840155945419,5.240174672489083,1.4851485148514851,0.0,0.0,0.0,0.0
8th,3.183885640025991,4.9126637554585155,1.9801980198019802,0.0,0.0,0.0,0.0
9th,2.404158544509422,3.7117903930131004,1.4851485148514851,0.0,0.0,0.0,0.0
10th,2.2742040285899936,3.493449781659389,1.4851485148514851,0.0,0.0,0.0,0.0
11th,2.9889538661468484,4.6943231441048034,1.4851485148514851,0.0,0.0,0.0,0.0
12th,5.523066926575699,8.296943231441048,4.455445544554456,0.0,0.0,0.0,0.0
13th,3.508771929824561,5.458515283842795,1.9801980198019802,0.0,0.0,0.0,0.0
14th,2.664067576348278,4.039301310043668,1.9801980198019802,0.0,0.0,0.0,0.0
15th,1.6244314489928524,2.510917030567686,0.9900990099009901,0.0,0.0,0.0,0.0
placed,64.9772579597141,100.0,41.584158415841586,0.0,0.0,0.0,0.0
not_placed,35.0227420402859,0.0,58.415841584158414,100.0,100.0,100.0,100.0
