,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,38.7264457439896,64.19213973799127,3.9603960396039604,0.0,0.0,0.0,0.0
2nd,10.916179337231968,17.358078602620086,4.455445544554456,0.0,0.0,0.0,0.0
3rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11th,2.4691358024691357,4.148471615720524,0.0,0.0,0.0,0.0,0.0
12th,4.678362573099415,7.860262008733624,0.0,0.0,0.0,0.0,0.0
13th,1.1046133853151396,1.8558951965065502,0.0,0.0,0.0,0.0,0.0
14th,5.2631578947368425,4.366812227074236,20.297029702970296,0.0,0.0,0.0,0.0
15th,3.5737491877842755,0.2183406113537118,26.237623762376238,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
