,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,12.865497076023392,19.541484716157207,9.405940594059405,0.0,0.0,0.0,0.0
2nd,3.833658219623132,6.11353711790393,1.4851485148514851,0.0,0.0,0.0,0.0
3rd,3.5737491877842755,5.131004366812227,3.9603960396039604,0.0,0.0,0.0,0.0
4th,2.9889538661468484,4.366812227074236,2.9702970297029703,0.0,0.0,0.0,0.0
5th,5.2631578947368425,8.51528384279476,1.4851485148514851,0.0,0.0,0.0,0.0
6th,2.8589993502274202,4.039301310043668,3.4653465346534653,0.0,0.0,0.0,0.0
7th,2.7940220922677064,4.366812227074236,1.4851485148514851,0.0,0.0,0.0,0.0
8th,4.74333983105913,7.641921397379913,1.4851485148514851,0.0,0.0,0.0,0.0
9th,2.3391812865497075,3.6026200873362444,1.4851485148514851,0.0,0.0,0.0,0.0
10th,3.1189083820662766,4.6943231441048034,2.4752475247524752,0.0,0.0,0.0,0.0
11th,3.833658219623132,6.004366812227074,1.9801980198019802,0.0,0.0,0.0,0.0
12th,6.172839506172839,9.606986899563319,3.4653465346534653,0.0,0.0,0.0,0.0
13th,5.588044184535413,8.951965065502183,1.9801980198019802,0.0,0.0,0.0,0.0
14th,3.313840155945419,5.349344978165939,0.9900990099009901,0.0,0.0,0.0,0.0
15th,1.4944769330734242,2.074235807860262,1.9801980198019802,0.0,0.0,0.0,0.0
placed,64.78232618583496,100.0,40.0990099009901,0.0,0.0,0.0,0.0
not_placed,35.21767381416504,0.0,59.9009900990099,100.0,100.0,100.0,100.0
