,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,42.10526315789474,69.75982532751091,4.455445544554456,0.0,0.0,0.0,0.0
2nd,1.949317738791423,3.2751091703056767,0.0,0.0,0.0,0.0,0.0
3rd,1.1046133853151396,1.8558951965065502,0.0,0.0,0.0,0.0,0.0
4th,1.4944769330734242,2.510917030567686,0.0,0.0,0.0,0.0,0.0
5th,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,2.014294996751137,3.3842794759825328,0.0,0.0,0.0,0.0,0.0
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11th,2.9239766081871346,4.9126637554585155,0.0,0.0,0.0,0.0,0.0
12th,5.458089668615984,9.170305676855895,0.0,0.0,0.0,0.0,0.0
13th,0.9096816114359974,1.5283842794759825,0.0,0.0,0.0,0.0,0.0
14th,5.198180636777128,3.2751091703056767,24.752475247524753,0.0,0.0,0.0,0.0
15th,3.378817413905133,0.0,25.742574257425744,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
