,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,4.613385315139701,6.986899563318778,3.4653465346534653,0.0,0.0,0.0,0.0
2nd,4.158544509421702,6.222707423580786,3.4653465346534653,0.0,0.0,0.0,0.0
3rd,3.313840155945419,5.240174672489083,1.4851485148514851,0.0,0.0,0.0,0.0
4th,3.508771929824561,5.895196506550218,0.0,0.0,0.0,0.0,0.0
5th,3.183885640025991,5.021834061135372,1.4851485148514851,0.0,0.0,0.0,0.0
6th,4.938271604938271,7.423580786026201,3.9603960396039604,0.0,0.0,0.0,0.0
7th,5.523066926575699,8.842794759825328,1.9801980198019802,0.0,0.0,0.0,0.0
8th,4.938271604938271,7.751091703056769,2.4752475247524752,0.0,0.0,0.0,0.0
9th,8.122157244964262,12.445414847161572,5.445544554455446,0.0,0.0,0.0,0.0
10th,4.808317089018844,7.641921397379913,1.9801980198019802,0.0,0.0,0.0,0.0
11th,3.313840155945419,5.458515283842795,0.49504950495049505,0.0,0.0,0.0,0.0
12th,4.418453541260559,7.205240174672489,0.9900990099009901,0.0,0.0,0.0,0.0
13th,4.288499025341131,6.877729257641922,1.4851485148514851,0.0,0.0,0.0,0.0
14th,3.508771929824561,4.585152838427947,5.9405940594059405,0.0,0.0,0.0,0.0
15th,2.014294996751137,2.4017467248908297,4.455445544554456,0.0,0.0,0.0,0.0
placed,64.65237166991552,100.0,39.10891089108911,0.0,0.0,0.0,0.0
not_placed,35.34762833008447,0.0,60.89108910891089,100.0,100.0,100.0,100.0
