,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,8.771929824561404,14.737991266375547,0.0,0.0,0.0,0.0,0.0
2nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3rd,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
4th,3.508771929824561,5.895196506550218,0.0,0.0,0.0,0.0,0.0
5th,3.183885640025991,5.349344978165939,0.0,0.0,0.0,0.0,0.0
6th,4.938271604938271,8.296943231441048,0.0,0.0,0.0,0.0,0.0
7th,7.92722547108512,13.318777292576419,0.0,0.0,0.0,0.0,0.0
8th,2.53411306042885,4.25764192139738,0.0,0.0,0.0,0.0,0.0
9th,8.122157244964262,13.646288209606986,0.0,0.0,0.0,0.0,0.0
10th,4.808317089018844,8.078602620087336,0.0,0.0,0.0,0.0,0.0
11th,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
12th,8.70695256660169,14.62882096069869,0.0,0.0,0.0,0.0,0.0
13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,4.093567251461988,0.6550218340611353,28.217821782178216,0.0,0.0,0.0,0.0
15th,3.508771929824561,0.0,26.73267326732673,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
