,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,7.667316439246264,12.22707423580786,2.9702970297029703,0.0,0.0,0.0,0.0
2nd,7.017543859649122,10.37117903930131,6.435643564356436,0.0,0.0,0.0,0.0
3rd,7.342430149447694,11.462882096069869,3.9603960396039604,0.0,0.0,0.0,0.0
4th,7.472384665367121,11.572052401746724,4.455445544554456,0.0,0.0,0.0,0.0
5th,5.588044184535413,8.51528384279476,3.9603960396039604,0.0,0.0,0.0,0.0
6th,7.472384665367121,11.790393013100436,3.4653465346534653,0.0,0.0,0.0,0.0
7th,2.7940220922677064,4.148471615720524,2.4752475247524752,0.0,0.0,0.0,0.0
8th,10.006497725795972,15.174672489082969,7.425742574257426,0.0,0.0,0.0,0.0
9th,6.042884990253412,9.606986899563319,2.4752475247524752,0.0,0.0,0.0,0.0
10th,1.1046133853151396,1.6375545851528384,0.9900990099009901,0.0,0.0,0.0,0.0
11th,0.5847953216374269,0.982532751091703,0.0,0.0,0.0,0.0,0.0
12th,1.299545159194282,2.074235807860262,0.49504950495049505,0.0,0.0,0.0,0.0
13th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
14th,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,64.65237166991552,100.0,39.10891089108911,0.0,0.0,0.0,0.0
not_placed,35.34762833008447,0.0,60.89108910891089,100.0,100.0,100.0,100.0
