,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,7.60233918128655,12.77292576419214,0.0,0.0,0.0,0.0,0.0
2nd,9.421702404158545,15.829694323144105,0.0,0.0,0.0,0.0,0.0
3rd,9.096816114359974,15.283842794759826,0.0,0.0,0.0,0.0,0.0
4th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5th,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
6th,7.60233918128655,12.77292576419214,0.0,0.0,0.0,0.0,0.0
7th,11.371020142949968,13.209606986899564,26.73267326732673,0.0,0.0,0.0,0.0
8th,6.692657569850552,5.021834061135372,28.217821782178216,0.0,0.0,0.0,0.0
9th,4.158544509421702,6.986899563318778,0.0,0.0,0.0,0.0,0.0
10th,3.508771929824561,5.895196506550218,0.0,0.0,0.0,0.0,0.0
11th,3.96361273554256,6.6593886462882095,0.0,0.0,0.0,0.0,0.0
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
