,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.887589343729695,10.37117903930131,5.445544554455446,0.0,0.0,0.0,0.0
2nd,3.313840155945419,4.9126637554585155,2.9702970297029703,0.0,0.0,0.0,0.0
3rd,5.588044184535413,8.624454148471616,3.4653465346534653,0.0,0.0,0.0,0.0
4th,5.133203378817414,8.078602620087336,2.4752475247524752,0.0,0.0,0.0,0.0
5th,7.862248213125406,12.22707423580786,4.455445544554456,0.0,0.0,0.0,0.0
6th,7.862248213125406,12.117903930131005,4.9504950495049505,0.0,0.0,0.0,0.0
7th,7.147498375568551,10.589519650655022,6.435643564356436,0.0,0.0,0.0,0.0
8th,11.500974658869396,18.231441048034934,4.9504950495049505,0.0,0.0,0.0,0.0
9th,2.4691358024691357,3.8209606986899565,1.4851485148514851,0.0,0.0,0.0,0.0
10th,0.9746588693957114,1.2008733624454149,1.9801980198019802,0.0,0.0,0.0,0.0
11th,4.288499025341131,6.877729257641922,1.4851485148514851,0.0,0.0,0.0,0.0
12th,0.1299545159194282,0.2183406113537118,0.0,0.0,0.0,0.0,0.0
13th,1.7543859649122806,2.7292576419213974,0.9900990099009901,0.0,0.0,0.0,0.0
14th,0.0649772579597141,0.0,0.49504950495049505,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,64.9772579597141,100.0,41.584158415841586,0.0,0.0,0.0,0.0
not_placed,35.0227420402859,0.0,58.415841584158414,100.0,100.0,100.0,100.0
