,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,4.938271604938271,8.296943231441048,0.0,0.0,0.0,0.0,0.0
2nd,8.512020792722547,8.078602620087336,28.217821782178216,0.0,0.0,0.0,0.0
3rd,12.280701754385966,20.633187772925766,0.0,0.0,0.0,0.0,0.0
4th,7.60233918128655,12.77292576419214,0.0,0.0,0.0,0.0,0.0
5th,6.692657569850552,11.244541484716157,0.0,0.0,0.0,0.0,0.0
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8th,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
9th,2.599090318388564,4.366812227074236,0.0,0.0,0.0,0.0,0.0
10th,0.3898635477582846,0.6550218340611353,0.0,0.0,0.0,0.0,0.0
11th,9.421702404158545,15.829694323144105,0.0,0.0,0.0,0.0,0.0
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13th,10.981156595191683,12.554585152838428,26.73267326732673,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
