,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.302794022092268,9.825327510917031,3.4653465346534653,0.0,0.0,0.0,0.0
2nd,7.017543859649122,11.353711790393014,1.9801980198019802,0.0,0.0,0.0,0.0
3rd,7.342430149447694,11.135371179039302,5.445544554455446,0.0,0.0,0.0,0.0
4th,7.472384665367121,11.572052401746724,4.455445544554456,0.0,0.0,0.0,0.0
5th,3.313840155945419,4.8034934497816595,3.4653465346534653,0.0,0.0,0.0,0.0
6th,7.667316439246264,11.681222707423581,5.445544554455446,0.0,0.0,0.0,0.0
7th,4.808317089018844,6.986899563318778,4.9504950495049505,0.0,0.0,0.0,0.0
8th,4.353476283300845,6.550218340611353,3.4653465346534653,0.0,0.0,0.0,0.0
9th,3.7037037037037037,5.895196506550218,1.4851485148514851,0.0,0.0,0.0,0.0
10th,6.432748538011696,9.934497816593886,3.9603960396039604,0.0,0.0,0.0,0.0
11th,5.782975958414555,8.842794759825328,3.9603960396039604,0.0,0.0,0.0,0.0
12th,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
13th,0.1299545159194282,0.2183406113537118,0.0,0.0,0.0,0.0,0.0
14th,0.5847953216374269,0.8733624454148472,0.49504950495049505,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,65.10721247563353,100.0,42.57425742574257,0.0,0.0,0.0,0.0
not_placed,34.89278752436647,0.0,57.42574257425743,100.0,100.0,100.0,100.0
