,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,7.92722547108512,13.318777292576419,0.0,0.0,0.0,0.0,0.0
2nd,11.825860948667966,13.646288209606986,28.217821782178216,0.0,0.0,0.0,0.0
3rd,9.941520467836257,16.70305676855895,0.0,0.0,0.0,0.0,0.0
4th,8.901884340480832,14.956331877729257,0.0,0.0,0.0,0.0,0.0
5th,6.627680311890838,11.135371179039302,0.0,0.0,0.0,0.0,0.0
6th,2.599090318388564,4.366812227074236,0.0,0.0,0.0,0.0,0.0
7th,3.5737491877842755,6.004366812227074,0.0,0.0,0.0,0.0,0.0
8th,4.158544509421702,6.986899563318778,0.0,0.0,0.0,0.0,0.0
9th,3.508771929824561,0.0,26.73267326732673,0.0,0.0,0.0,0.0
10th,4.938271604938271,8.296943231441048,0.0,0.0,0.0,0.0,0.0
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,2.729044834307992,4.585152838427947,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
