,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.1078622482131255,9.170305676855895,4.9504950495049505,0.0,0.0,0.0,0.0
2nd,7.212475633528265,11.353711790393014,3.4653465346534653,0.0,0.0,0.0,0.0
3rd,9.226770630279402,14.847161572052402,2.9702970297029703,0.0,0.0,0.0,0.0
4th,3.4437946718648473,5.021834061135372,3.4653465346534653,0.0,0.0,0.0,0.0
5th,12.735542560103964,19.213973799126638,9.900990099009901,0.0,0.0,0.0,0.0
6th,3.96361273554256,6.331877729257642,1.4851485148514851,0.0,0.0,0.0,0.0
7th,3.5737491877842755,5.567685589519651,1.9801980198019802,0.0,0.0,0.0,0.0
8th,3.7686809616634176,5.676855895196507,2.9702970297029703,0.0,0.0,0.0,0.0
9th,2.664067576348278,3.930131004366812,2.4752475247524752,0.0,0.0,0.0,0.0
10th,4.288499025341131,6.441048034934497,3.4653465346534653,0.0,0.0,0.0,0.0
11th,4.938271604938271,7.96943231441048,1.4851485148514851,0.0,0.0,0.0,0.0
12th,2.7940220922677064,4.25764192139738,1.9801980198019802,0.0,0.0,0.0,0.0
13th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
placed,64.84730344379467,100.0,40.59405940594059,0.0,0.0,0.0,0.0
not_placed,35.15269655620533,0.0,59.40594059405941,100.0,100.0,100.0,100.0
