,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.887589343729695,11.572052401746724,0.0,0.0,0.0,0.0,0.0
2nd,8.576998050682262,14.410480349344978,0.0,0.0,0.0,0.0,0.0
3rd,12.930474333983106,21.724890829694324,0.0,0.0,0.0,0.0,0.0
4th,3.183885640025991,5.349344978165939,0.0,0.0,0.0,0.0,0.0
5th,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
6th,7.407407407407407,6.222707423580786,28.217821782178216,0.0,0.0,0.0,0.0
7th,11.306042884990253,18.995633187772924,0.0,0.0,0.0,0.0,0.0
8th,4.613385315139701,7.751091703056769,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,3.508771929824561,0.0,26.73267326732673,0.0,0.0,0.0,0.0
11th,3.508771929824561,5.895196506550218,0.0,0.0,0.0,0.0,0.0
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13th,1.4944769330734242,2.510917030567686,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
