,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,8.057179987004549,12.445414847161572,4.9504950495049505,0.0,0.0,0.0,0.0
2nd,7.667316439246264,11.681222707423581,5.445544554455446,0.0,0.0,0.0,0.0
3rd,4.223521767381417,6.331877729257642,3.4653465346534653,0.0,0.0,0.0,0.0
4th,5.588044184535413,8.733624454148472,2.9702970297029703,0.0,0.0,0.0,0.0
5th,9.48667966211826,14.956331877729257,4.455445544554456,0.0,0.0,0.0,0.0
6th,3.7686809616634176,5.895196506550218,1.9801980198019802,0.0,0.0,0.0,0.0
7th,6.757634827810266,9.934497816593886,6.435643564356436,0.0,0.0,0.0,0.0
8th,5.198180636777128,8.078602620087336,2.9702970297029703,0.0,0.0,0.0,0.0
9th,3.7037037037037037,5.786026200873362,1.9801980198019802,0.0,0.0,0.0,0.0
10th,4.223521767381417,6.6593886462882095,1.9801980198019802,0.0,0.0,0.0,0.0
11th,4.938271604938271,7.532751091703057,3.4653465346534653,0.0,0.0,0.0,0.0
12th,1.1046133853151396,1.6375545851528384,0.9900990099009901,0.0,0.0,0.0,0.0
13th,0.1299545159194282,0.1091703056768559,0.49504950495049505,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.1949317738791423,0.2183406113537118,0.49504950495049505,0.0,0.0,0.0,0.0
placed,65.04223521767382,100.0,42.07920792079208,0.0,0.0,0.0,0.0
not_placed,34.95776478232619,0.0,57.92079207920792,100.0,100.0,100.0,100.0
