,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,7.732293697205978,12.991266375545852,0.0,0.0,0.0,0.0,0.0
2nd,6.887589343729695,11.572052401746724,0.0,0.0,0.0,0.0,0.0
3rd,3.378817413905133,5.676855895196507,0.0,0.0,0.0,0.0,0.0
4th,4.938271604938271,8.296943231441048,0.0,0.0,0.0,0.0,0.0
5th,3.183885640025991,5.349344978165939,0.0,0.0,0.0,0.0,0.0
6th,3.7037037037037037,0.0,28.217821782178216,0.0,0.0,0.0,0.0
7th,12.475633528265107,20.96069868995633,0.0,0.0,0.0,0.0,0.0
8th,3.508771929824561,5.895196506550218,0.0,0.0,0.0,0.0,0.0
9th,4.158544509421702,6.986899563318778,0.0,0.0,0.0,0.0,0.0
10th,3.0539311241065628,0.6550218340611353,20.297029702970296,0.0,0.0,0.0,0.0
11th,5.653021442495127,8.078602620087336,6.435643564356436,0.0,0.0,0.0,0.0
12th,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
13th,4.74333983105913,7.96943231441048,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
