,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,8.70695256660169,12.991266375545852,7.425742574257426,0.0,0.0,0.0,0.0
2nd,7.017543859649122,11.026200873362445,3.4653465346534653,0.0,0.0,0.0,0.0
3rd,4.938271604938271,7.860262008733624,1.9801980198019802,0.0,0.0,0.0,0.0
4th,11.955815464587394,18.558951965065503,6.930693069306931,0.0,0.0,0.0,0.0
5th,6.9525666016894085,10.698689956331878,4.455445544554456,0.0,0.0,0.0,0.0
6th,3.6387264457439894,5.786026200873362,1.4851485148514851,0.0,0.0,0.0,0.0
7th,4.223521767381417,5.786026200873362,5.9405940594059405,0.0,0.0,0.0,0.0
8th,7.472384665367121,11.572052401746724,4.455445544554456,0.0,0.0,0.0,0.0
9th,1.949317738791423,3.2751091703056767,0.0,0.0,0.0,0.0,0.0
10th,0.9746588693957114,1.6375545851528384,0.0,0.0,0.0,0.0,0.0
11th,3.7686809616634176,6.11353711790393,0.9900990099009901,0.0,0.0,0.0,0.0
12th,3.183885640025991,4.6943231441048034,2.9702970297029703,0.0,0.0,0.0,0.0
13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,64.78232618583496,100.0,40.0990099009901,0.0,0.0,0.0,0.0
not_placed,35.21767381416504,0.0,59.9009900990099,100.0,100.0,100.0,100.0
