,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,7.732293697205978,12.991266375545852,0.0,0.0,0.0,0.0,0.0
2nd,4.288499025341131,7.205240174672489,0.0,0.0,0.0,0.0,0.0
3rd,4.158544509421702,6.986899563318778,0.0,0.0,0.0,0.0,0.0
4th,6.692657569850552,11.244541484716157,0.0,0.0,0.0,0.0,0.0
5th,11.435997400909681,19.213973799126638,0.0,0.0,0.0,0.0,0.0
6th,3.7686809616634176,6.331877729257642,0.0,0.0,0.0,0.0,0.0
7th,4.938271604938271,8.296943231441048,0.0,0.0,0.0,0.0,0.0
8th,7.992202729044834,13.427947598253276,0.0,0.0,0.0,0.0,0.0
9th,3.508771929824561,5.895196506550218,0.0,0.0,0.0,0.0,0.0
10th,3.508771929824561,0.0,26.73267326732673,0.0,0.0,0.0,0.0
11th,4.093567251461988,0.6550218340611353,28.217821782178216,0.0,0.0,0.0,0.0
12th,4.613385315139701,7.751091703056769,0.0,0.0,0.0,0.0,0.0
13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
