,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.432748538011696,9.497816593886462,5.9405940594059405,0.0,0.0,0.0,0.0
2nd,5.977907732293697,9.497816593886462,2.4752475247524752,0.0,0.0,0.0,0.0
3rd,5.2631578947368425,7.751091703056769,4.9504950495049505,0.0,0.0,0.0,0.0
4th,5.782975958414555,9.388646288209607,1.4851485148514851,0.0,0.0,0.0,0.0
5th,2.7940220922677064,4.585152838427947,0.49504950495049505,0.0,0.0,0.0,0.0
6th,3.96361273554256,5.240174672489083,6.435643564356436,0.0,0.0,0.0,0.0
7th,3.5737491877842755,5.786026200873362,0.9900990099009901,0.0,0.0,0.0,0.0
8th,7.667316439246264,12.22707423580786,2.9702970297029703,0.0,0.0,0.0,0.0
9th,3.1189083820662766,4.9126637554585155,1.4851485148514851,0.0,0.0,0.0,0.0
10th,4.353476283300845,6.877729257641922,1.9801980198019802,0.0,0.0,0.0,0.0
11th,7.147498375568551,11.244541484716157,3.4653465346534653,0.0,0.0,0.0,0.0
12th,3.508771929824561,5.567685589519651,1.4851485148514851,0.0,0.0,0.0,0.0
13th,2.404158544509422,3.165938864628821,3.9603960396039604,0.0,0.0,0.0,0.0
14th,1.949317738791423,2.947598253275109,1.4851485148514851,0.0,0.0,0.0,0.0
15th,0.7797270955165692,1.3100436681222707,0.0,0.0,0.0,0.0,0.0
placed,64.71734892787525,100.0,39.603960396039604,0.0,0.0,0.0,0.0
not_placed,35.28265107212476,0.0,60.396039603960396,100.0,100.0,100.0,100.0
