,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,10.81081081081081,17.679558011049725,0.0,0.0,0.0,0.0,0.0
2nd,8.445945945945946,13.259668508287293,3.4482758620689653,0.0,0.0,0.0,0.0
3rd,7.4324324324324325,10.497237569060774,10.344827586206897,0.0,0.0,0.0,0.0
4th,6.081081081081081,9.392265193370166,3.4482758620689653,0.0,0.0,0.0,0.0
5th,4.054054054054054,6.629834254143646,0.0,0.0,0.0,0.0,0.0
6th,5.0675675675675675,7.734806629834254,3.4482758620689653,0.0,0.0,0.0,0.0
7th,2.7027027027027026,4.419889502762431,0.0,0.0,0.0,0.0,0.0
8th,5.0675675675675675,7.734806629834254,3.4482758620689653,0.0,0.0,0.0,0.0
9th,2.364864864864865,3.867403314917127,0.0,0.0,0.0,0.0,0.0
10th,2.027027027027027,3.314917127071823,0.0,0.0,0.0,0.0,0.0
11th,3.3783783783783785,4.972375690607735,3.4482758620689653,0.0,0.0,0.0,0.0
12th,1.3513513513513513,2.2099447513812156,0.0,0.0,0.0,0.0,0.0
13th,1.3513513513513513,2.2099447513812156,0.0,0.0,0.0,0.0,0.0
14th,2.364864864864865,3.867403314917127,0.0,0.0,0.0,0.0,0.0
15th,1.6891891891891893,2.2099447513812156,3.4482758620689653,0.0,0.0,0.0,0.0
placed,64.1891891891892,100.0,31.03448275862069,0.0,0.0,0.0,0.0
not_placed,35.810810810810814,0.0,68.96551724137932,100.0,100.0,100.0,100.0
