,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,3.7007240547063556,5.714285714285714,2.3121387283236996,0.0,0.0,0.0,0.0
2nd,5.148833467417538,8.02721088435374,2.8901734104046244,0.0,0.0,0.0,0.0
3rd,3.5398230088495577,5.3061224489795915,2.8901734104046244,0.0,0.0,0.0,0.0
4th,3.8616251005631534,6.258503401360544,1.1560693641618498,0.0,0.0,0.0,0.0
5th,2.815768302493966,4.489795918367347,1.1560693641618498,0.0,0.0,0.0,0.0
6th,9.17135961383749,14.829931972789115,2.8901734104046244,0.0,0.0,0.0,0.0
7th,4.585679806918745,7.210884353741497,2.3121387283236996,0.0,0.0,0.0,0.0
8th,4.746580852775543,6.666666666666667,5.780346820809249,0.0,0.0,0.0,0.0
9th,3.3789219629927594,3.5374149659863945,9.248554913294798,0.0,0.0,0.0,0.0
10th,5.148833467417538,8.02721088435374,2.8901734104046244,0.0,0.0,0.0,0.0
11th,3.9420756234915526,6.258503401360544,1.7341040462427746,0.0,0.0,0.0,0.0
12th,4.18342719227675,6.666666666666667,1.7341040462427746,0.0,0.0,0.0,0.0
13th,3.29847144006436,5.034013605442177,2.3121387283236996,0.0,0.0,0.0,0.0
14th,3.7811745776347547,6.258503401360544,0.5780346820809249,0.0,0.0,0.0,0.0
15th,3.3789219629927594,5.714285714285714,0.0,0.0,0.0,0.0,0.0
placed,64.68222043443282,100.0,39.884393063583815,0.0,0.0,0.0,0.0
not_placed,35.31777956556718,0.0,60.115606936416185,100.0,100.0,100.0,100.0
