,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,7.342430149447694,12.117903930131005,0.9900990099009901,0.0,0.0,0.0,0.0
2nd,7.732293697205978,12.554585152838428,1.9801980198019802,0.0,0.0,0.0,0.0
3rd,3.898635477582846,6.441048034934497,0.49504950495049505,0.0,0.0,0.0,0.0
4th,10.201429499675113,16.70305676855895,1.9801980198019802,0.0,0.0,0.0,0.0
5th,1.1695906432748537,1.5283842794759825,1.9801980198019802,0.0,0.0,0.0,0.0
6th,9.161793372319687,15.174672489082969,0.9900990099009901,0.0,0.0,0.0,0.0
7th,1.364522417153996,1.7467248908296944,2.4752475247524752,0.0,0.0,0.0,0.0
8th,5.2631578947368425,8.51528384279476,1.4851485148514851,0.0,0.0,0.0,0.0
9th,1.7543859649122806,2.8384279475982535,0.49504950495049505,0.0,0.0,0.0,0.0
10th,4.613385315139701,7.532751091703057,0.9900990099009901,0.0,0.0,0.0,0.0
11th,1.8193632228719947,2.8384279475982535,0.9900990099009901,0.0,0.0,0.0,0.0
12th,3.378817413905133,5.458515283842795,0.9900990099009901,0.0,0.0,0.0,0.0
13th,3.7037037037037037,5.895196506550218,1.4851485148514851,0.0,0.0,0.0,0.0
14th,2.3391812865497075,0.6550218340611353,14.851485148514852,0.0,0.0,0.0,0.0
15th,2.9889538661468484,0.0,22.77227722772277,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
