,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,12.587412587412587,19.867549668874172,13.333333333333334,0.0,0.0,0.0,0.0
2nd,11.188811188811188,17.880794701986755,11.11111111111111,0.0,0.0,0.0,0.0
3rd,11.888111888111888,18.543046357615893,13.333333333333334,0.0,0.0,0.0,0.0
4th,8.391608391608392,13.245033112582782,8.88888888888889,0.0,0.0,0.0,0.0
5th,5.244755244755245,7.947019867549669,6.666666666666667,0.0,0.0,0.0,0.0
6th,3.1468531468531467,5.298013245033113,2.2222222222222223,0.0,0.0,0.0,0.0
7th,1.048951048951049,0.6622516556291391,4.444444444444445,0.0,0.0,0.0,0.0
8th,3.1468531468531467,3.3112582781456954,8.88888888888889,0.0,0.0,0.0,0.0
9th,1.7482517482517483,1.9867549668874172,4.444444444444445,0.0,0.0,0.0,0.0
10th,1.048951048951049,1.9867549668874172,0.0,0.0,0.0,0.0,0.0
11th,1.3986013986013985,2.6490066225165565,0.0,0.0,0.0,0.0,0.0
12th,2.4475524475524475,4.635761589403973,0.0,0.0,0.0,0.0,0.0
13th,0.34965034965034963,0.6622516556291391,0.0,0.0,0.0,0.0,0.0
14th,0.6993006993006993,1.3245033112582782,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,64.33566433566433,100.0,73.33333333333333,0.0,0.0,0.0,0.0
not_placed,35.66433566433567,0.0,26.666666666666668,100.0,100.0,100.0,100.0
