,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,3.192338387869114,5.228758169934641,0.0,0.0,0.0,0.0,0.0
2nd,6.0654429369513165,9.934640522875817,0.0,0.0,0.0,0.0,0.0
3rd,2.9529130087789306,4.836601307189542,0.0,0.0,0.0,0.0,0.0
4th,3.0327214684756583,4.967320261437909,0.0,0.0,0.0,0.0,0.0
5th,5.347166799680767,8.758169934640524,0.0,0.0,0.0,0.0,0.0
6th,3.830806065442937,0.7843137254901961,26.751592356687897,0.0,0.0,0.0,0.0
7th,5.506783719074222,9.019607843137255,0.0,0.0,0.0,0.0,0.0
8th,5.267358339984038,8.627450980392156,0.0,0.0,0.0,0.0,0.0
9th,9.976057462090981,16.33986928104575,0.0,0.0,0.0,0.0,0.0
10th,2.873104549082203,0.0,22.929936305732483,0.0,0.0,0.0,0.0
11th,3.9904229848363926,6.5359477124183005,0.0,0.0,0.0,0.0,0.0
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13th,4.2298483639265765,6.928104575163399,0.0,0.0,0.0,0.0,0.0
14th,9.65682362330407,15.816993464052288,0.0,0.0,0.0,0.0,0.0
15th,1.3567438148443736,2.2222222222222223,0.0,0.0,0.0,0.0,0.0
placed,67.27853152434157,100.0,49.681528662420384,0.0,0.0,0.0,0.0
not_placed,32.72146847565842,0.0,50.318471337579616,100.0,100.0,100.0,100.0
