,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,25.081221572449643,38.53711790393013,16.336633663366335,0.0,0.0,0.0,0.0
2nd,7.017543859649122,11.026200873362445,3.4653465346534653,0.0,0.0,0.0,0.0
3rd,5.0682261208577,7.96943231441048,2.4752475247524752,0.0,0.0,0.0,0.0
4th,4.74333983105913,6.877729257641922,4.9504950495049505,0.0,0.0,0.0,0.0
5th,3.898635477582846,6.004366812227074,2.4752475247524752,0.0,0.0,0.0,0.0
6th,2.53411306042885,3.6026200873362444,2.9702970297029703,0.0,0.0,0.0,0.0
7th,5.133203378817414,8.187772925764191,1.9801980198019802,0.0,0.0,0.0,0.0
8th,3.7686809616634176,5.895196506550218,1.9801980198019802,0.0,0.0,0.0,0.0
9th,2.4691358024691357,3.930131004366812,0.9900990099009901,0.0,0.0,0.0,0.0
10th,2.4691358024691357,3.8209606986899565,1.4851485148514851,0.0,0.0,0.0,0.0
11th,1.1695906432748537,1.7467248908296944,0.9900990099009901,0.0,0.0,0.0,0.0
12th,0.9746588693957114,1.3100436681222707,1.4851485148514851,0.0,0.0,0.0,0.0
13th,0.7147498375568551,1.091703056768559,0.49504950495049505,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,65.04223521767382,100.0,42.07920792079208,0.0,0.0,0.0,0.0
not_placed,34.95776478232619,0.0,57.92079207920792,100.0,100.0,100.0,100.0
