,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,47.36842105263158,76.7467248908297,12.871287128712872,0.0,0.0,0.0,0.0
2nd,2.599090318388564,3.8209606986899565,2.4752475247524752,0.0,0.0,0.0,0.0
3rd,0.4548408057179987,0.2183406113537118,2.4752475247524752,0.0,0.0,0.0,0.0
4th,0.5198180636777128,0.0,3.9603960396039604,0.0,0.0,0.0,0.0
5th,0.649772579597141,0.4366812227074236,2.9702970297029703,0.0,0.0,0.0,0.0
6th,0.2599090318388564,0.2183406113537118,0.9900990099009901,0.0,0.0,0.0,0.0
7th,2.1442495126705654,3.165938864628821,1.9801980198019802,0.0,0.0,0.0,0.0
8th,4.678362573099415,7.641921397379913,0.9900990099009901,0.0,0.0,0.0,0.0
9th,0.1949317738791423,0.0,1.4851485148514851,0.0,0.0,0.0,0.0
10th,1.6244314489928524,0.32751091703056767,10.891089108910892,0.0,0.0,0.0,0.0
11th,2.2742040285899936,0.7641921397379913,13.861386138613861,0.0,0.0,0.0,0.0
12th,0.0649772579597141,0.1091703056768559,0.0,0.0,0.0,0.0,0.0
13th,3.898635477582846,6.550218340611353,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
