,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.367771280051982,10.152838427947598,2.4752475247524752,0.0,0.0,0.0,0.0
2nd,4.8732943469785575,6.441048034934497,7.920792079207921,0.0,0.0,0.0,0.0
3rd,5.003248862897986,7.205240174672489,5.445544554455446,0.0,0.0,0.0,0.0
4th,8.382066276803119,13.209606986899564,3.9603960396039604,0.0,0.0,0.0,0.0
5th,5.003248862897986,7.860262008733624,2.4752475247524752,0.0,0.0,0.0,0.0
6th,4.093567251461988,6.441048034934497,1.9801980198019802,0.0,0.0,0.0,0.0
7th,4.613385315139701,6.986899563318778,3.4653465346534653,0.0,0.0,0.0,0.0
8th,4.613385315139701,7.205240174672489,2.4752475247524752,0.0,0.0,0.0,0.0
9th,2.4691358024691357,3.930131004366812,0.9900990099009901,0.0,0.0,0.0,0.0
10th,4.223521767381417,6.441048034934497,2.9702970297029703,0.0,0.0,0.0,0.0
11th,7.732293697205978,12.336244541484715,2.9702970297029703,0.0,0.0,0.0,0.0
12th,3.4437946718648473,5.567685589519651,0.9900990099009901,0.0,0.0,0.0,0.0
13th,1.8193632228719947,2.8384279475982535,0.9900990099009901,0.0,0.0,0.0,0.0
14th,1.6244314489928524,2.510917030567686,0.9900990099009901,0.0,0.0,0.0,0.0
15th,0.5847953216374269,0.8733624454148472,0.49504950495049505,0.0,0.0,0.0,0.0
placed,64.84730344379467,100.0,40.59405940594059,0.0,0.0,0.0,0.0
not_placed,35.15269655620533,0.0,59.40594059405941,100.0,100.0,100.0,100.0
