,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,3.884297520661157,6.258692628650904,1.2195121951219512,0.0,0.0,0.0,0.0
2nd,5.289256198347108,7.7885952712100135,4.878048780487805,0.0,0.0,0.0,0.0
3rd,4.214876033057851,6.119610570236439,4.2682926829268295,0.0,0.0,0.0,0.0
4th,5.867768595041323,9.040333796940194,3.658536585365854,0.0,0.0,0.0,0.0
5th,4.545454545454546,7.093184979137691,2.4390243902439024,0.0,0.0,0.0,0.0
6th,2.809917355371901,4.172461752433936,2.4390243902439024,0.0,0.0,0.0,0.0
7th,4.297520661157025,5.563282336578581,7.317073170731708,0.0,0.0,0.0,0.0
8th,4.545454545454546,6.675938803894297,4.2682926829268295,0.0,0.0,0.0,0.0
9th,4.958677685950414,7.649513212795549,3.048780487804878,0.0,0.0,0.0,0.0
10th,8.512396694214877,13.351877607788595,4.2682926829268295,0.0,0.0,0.0,0.0
11th,4.049586776859504,6.815020862308762,0.0,0.0,0.0,0.0,0.0
12th,7.851239669421488,12.378303198887343,3.658536585365854,0.0,0.0,0.0,0.0
13th,1.9834710743801653,3.198887343532684,0.6097560975609756,0.0,0.0,0.0,0.0
14th,1.5702479338842976,2.642559109874826,0.0,0.0,0.0,0.0,0.0
15th,0.743801652892562,1.2517385257301807,0.0,0.0,0.0,0.0,0.0
placed,65.12396694214875,100.0,42.073170731707314,0.0,0.0,0.0,0.0
not_placed,34.87603305785124,0.0,57.926829268292686,100.0,100.0,100.0,100.0
