,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,8.51063829787234,13.197969543147208,5.2631578947368425,0.0,0.0,0.0,0.0
2nd,11.854103343465045,19.289340101522843,2.6315789473684212,0.0,0.0,0.0,0.0
3rd,11.854103343465045,17.766497461928935,10.526315789473685,0.0,0.0,0.0,0.0
4th,7.90273556231003,12.182741116751268,5.2631578947368425,0.0,0.0,0.0,0.0
5th,3.951367781155015,6.598984771573604,0.0,0.0,0.0,0.0,0.0
6th,4.86322188449848,8.121827411167512,0.0,0.0,0.0,0.0,0.0
7th,4.25531914893617,7.106598984771574,0.0,0.0,0.0,0.0,0.0
8th,3.3434650455927053,4.060913705583756,7.894736842105263,0.0,0.0,0.0,0.0
9th,2.735562310030395,4.568527918781726,0.0,0.0,0.0,0.0,0.0
10th,2.127659574468085,3.553299492385787,0.0,0.0,0.0,0.0,0.0
11th,0.9118541033434651,1.5228426395939085,0.0,0.0,0.0,0.0,0.0
12th,0.303951367781155,0.5076142131979695,0.0,0.0,0.0,0.0,0.0
13th,0.303951367781155,0.5076142131979695,0.0,0.0,0.0,0.0,0.0
14th,0.303951367781155,0.5076142131979695,0.0,0.0,0.0,0.0,0.0
15th,0.60790273556231,0.5076142131979695,2.6315789473684212,0.0,0.0,0.0,0.0
placed,63.829787234042556,100.0,34.21052631578947,0.0,0.0,0.0,0.0
not_placed,36.170212765957444,0.0,65.78947368421052,100.0,100.0,100.0,100.0
