,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.042884990253412,3.8209606986899565,28.712871287128714,0.0,0.0,0.0,0.0
2nd,6.49772579597141,5.131004366812227,26.237623762376238,0.0,0.0,0.0,0.0
3rd,5.39311241065627,9.06113537117904,0.0,0.0,0.0,0.0,0.0
4th,6.042884990253412,10.152838427947598,0.0,0.0,0.0,0.0,0.0
5th,4.938271604938271,8.296943231441048,0.0,0.0,0.0,0.0,0.0
6th,8.382066276803119,14.08296943231441,0.0,0.0,0.0,0.0,0.0
7th,0.1949317738791423,0.32751091703056767,0.0,0.0,0.0,0.0,0.0
8th,2.729044834307992,4.585152838427947,0.0,0.0,0.0,0.0,0.0
9th,2.729044834307992,4.585152838427947,0.0,0.0,0.0,0.0,0.0
10th,3.508771929824561,5.895196506550218,0.0,0.0,0.0,0.0,0.0
11th,4.288499025341131,7.205240174672489,0.0,0.0,0.0,0.0,0.0
12th,8.122157244964262,13.646288209606986,0.0,0.0,0.0,0.0,0.0
13th,3.313840155945419,5.567685589519651,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,4.548408057179987,7.641921397379913,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
