,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,4.170073589533933,6.986301369863014,0.0,0.0,0.0,0.0,0.0
2nd,3.3524121013900245,5.616438356164384,0.0,0.0,0.0,0.0,0.0
3rd,9.893704006541292,16.575342465753426,0.0,0.0,0.0,0.0,0.0
4th,6.214227309893704,10.41095890410959,0.0,0.0,0.0,0.0,0.0
5th,4.415372035977105,0.0,35.526315789473685,0.0,0.0,0.0,0.0
6th,5.396565821749795,9.04109589041096,0.0,0.0,0.0,0.0,0.0
7th,3.188879803761243,5.342465753424658,0.0,0.0,0.0,0.0,0.0
8th,5.560098119378577,9.315068493150685,0.0,0.0,0.0,0.0,0.0
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10th,3.679476696647588,6.164383561643835,0.0,0.0,0.0,0.0,0.0
11th,4.415372035977105,7.397260273972603,0.0,0.0,0.0,0.0,0.0
12th,3.107113654946852,5.205479452054795,0.0,0.0,0.0,0.0,0.0
13th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14th,10.220768601798856,17.123287671232877,0.0,0.0,0.0,0.0,0.0
15th,1.2264922322158627,0.821917808219178,5.921052631578948,0.0,0.0,0.0,0.0
placed,64.84055600981193,100.0,41.44736842105263,0.0,0.0,0.0,0.0
not_placed,35.15944399018806,0.0,58.55263157894737,100.0,100.0,100.0,100.0
