,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,14.556962025316455,23.655913978494624,4.0,0.0,0.0,0.0,0.0
2nd,6.962025316455696,11.827956989247312,0.0,0.0,0.0,0.0,0.0
3rd,8.544303797468354,13.440860215053764,4.0,0.0,0.0,0.0,0.0
4th,7.9113924050632916,11.827956989247312,6.0,0.0,0.0,0.0,0.0
5th,6.012658227848101,9.67741935483871,2.0,0.0,0.0,0.0,0.0
6th,4.746835443037975,6.451612903225806,6.0,0.0,0.0,0.0,0.0
7th,3.1645569620253164,3.225806451612903,8.0,0.0,0.0,0.0,0.0
8th,4.746835443037975,5.913978494623656,8.0,0.0,0.0,0.0,0.0
9th,3.1645569620253164,2.6881720430107525,10.0,0.0,0.0,0.0,0.0
10th,4.113924050632911,5.376344086021505,6.0,0.0,0.0,0.0,0.0
11th,5.063291139240507,5.913978494623656,10.0,0.0,0.0,0.0,0.0
12th,1.5822784810126582,0.0,10.0,0.0,0.0,0.0,0.0
13th,1.8987341772151898,0.0,12.0,0.0,0.0,0.0,0.0
14th,1.5822784810126582,0.0,10.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,74.0506329113924,100.0,96.0,0.0,0.0,0.0,0.0
not_placed,25.949367088607595,0.0,4.0,100.0,100.0,100.0,100.0
