,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.367771280051982,9.825327510917031,3.9603960396039604,0.0,0.0,0.0,0.0
2nd,4.548408057179987,7.205240174672489,1.9801980198019802,0.0,0.0,0.0,0.0
3rd,5.133203378817414,8.296943231441048,1.4851485148514851,0.0,0.0,0.0,0.0
4th,4.223521767381417,6.441048034934497,2.9702970297029703,0.0,0.0,0.0,0.0
5th,4.158544509421702,6.331877729257642,2.9702970297029703,0.0,0.0,0.0,0.0
6th,4.613385315139701,7.205240174672489,2.4752475247524752,0.0,0.0,0.0,0.0
7th,5.782975958414555,9.06113537117904,2.9702970297029703,0.0,0.0,0.0,0.0
8th,4.028589993502274,6.331877729257642,1.9801980198019802,0.0,0.0,0.0,0.0
9th,6.302794022092268,9.716157205240174,3.9603960396039604,0.0,0.0,0.0,0.0
10th,4.808317089018844,7.532751091703057,2.4752475247524752,0.0,0.0,0.0,0.0
11th,3.7686809616634176,5.786026200873362,2.4752475247524752,0.0,0.0,0.0,0.0
12th,3.96361273554256,5.895196506550218,3.4653465346534653,0.0,0.0,0.0,0.0
13th,2.9239766081871346,4.366812227074236,2.4752475247524752,0.0,0.0,0.0,0.0
14th,2.8589993502274202,4.148471615720524,2.9702970297029703,0.0,0.0,0.0,0.0
15th,1.6244314489928524,1.8558951965065502,3.9603960396039604,0.0,0.0,0.0,0.0
placed,65.10721247563353,100.0,42.57425742574257,0.0,0.0,0.0,0.0
not_placed,34.89278752436647,0.0,57.42574257425743,100.0,100.0,100.0,100.0
