,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,10.880829015544041,11.377245508982035,7.6923076923076925,,,,
2nd,28.497409326424872,28.74251497005988,26.923076923076923,,,,
3rd,25.38860103626943,24.550898203592816,30.76923076923077,,,,
4th,22.797927461139896,23.353293413173652,19.23076923076923,,,,
5th,12.435233160621761,11.976047904191617,15.384615384615385,,,,
6th,0.0,0.0,0.0,,,,
7th,0.0,0.0,0.0,,,,
8th,0.0,0.0,0.0,,,,
9th,0.0,0.0,0.0,,,,
10th,0.0,0.0,0.0,,,,
11th,0.0,0.0,0.0,,,,
12th,0.0,0.0,0.0,,,,
13th,0.0,0.0,0.0,,,,
14th,0.0,0.0,0.0,,,,
15th,0.0,0.0,0.0,,,,
placed,100.0,100.0,100.0,,,,
not_placed,0.0,0.0,0.0,,,,
