,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,5.521472392638037,9.424083769633508,0.0,0.0,0.0,0.0,0.0
2nd,3.6809815950920246,5.2356020942408374,4.081632653061225,0.0,0.0,0.0,0.0
3rd,3.6809815950920246,5.7591623036649215,2.0408163265306123,0.0,0.0,0.0,0.0
4th,4.9079754601226995,7.329842931937173,4.081632653061225,0.0,0.0,0.0,0.0
5th,3.6809815950920246,6.282722513089006,0.0,0.0,0.0,0.0,0.0
6th,5.521472392638037,9.424083769633508,0.0,0.0,0.0,0.0,0.0
7th,7.0552147239263805,11.518324607329843,2.0408163265306123,0.0,0.0,0.0,0.0
8th,3.067484662576687,4.712041884816754,2.0408163265306123,0.0,0.0,0.0,0.0
9th,8.588957055214724,12.565445026178011,8.16326530612245,0.0,0.0,0.0,0.0
10th,7.361963190184049,10.99476439790576,6.122448979591836,0.0,0.0,0.0,0.0
11th,3.374233128834356,4.712041884816754,4.081632653061225,0.0,0.0,0.0,0.0
12th,2.4539877300613497,4.18848167539267,0.0,0.0,0.0,0.0,0.0
13th,3.6809815950920246,4.712041884816754,6.122448979591836,0.0,0.0,0.0,0.0
14th,2.4539877300613497,1.5706806282722514,10.204081632653061,0.0,0.0,0.0,0.0
15th,1.5337423312883436,1.5706806282722514,4.081632653061225,0.0,0.0,0.0,0.0
placed,66.56441717791411,100.0,53.06122448979592,0.0,0.0,0.0,0.0
not_placed,33.43558282208589,0.0,46.93877551020408,100.0,100.0,100.0,100.0
