,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,14.893617021276595,13.333333333333334,50.0,,,,
2nd,14.893617021276595,13.333333333333334,50.0,,,,
3rd,12.76595744680851,13.333333333333334,0.0,,,,
4th,8.51063829787234,8.88888888888889,0.0,,,,
5th,12.76595744680851,13.333333333333334,0.0,,,,
6th,10.638297872340425,11.11111111111111,0.0,,,,
7th,10.638297872340425,11.11111111111111,0.0,,,,
8th,6.382978723404255,6.666666666666667,0.0,,,,
9th,2.127659574468085,2.2222222222222223,0.0,,,,
10th,2.127659574468085,2.2222222222222223,0.0,,,,
11th,4.25531914893617,4.444444444444445,0.0,,,,
12th,0.0,0.0,0.0,,,,
13th,0.0,0.0,0.0,,,,
14th,0.0,0.0,0.0,,,,
15th,0.0,0.0,0.0,,,,
placed,100.0,100.0,100.0,,,,
not_placed,0.0,0.0,0.0,,,,
