,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,6.521739130434782,9.411764705882353,9.090909090909092,0.0,0.0,0.0,
2nd,7.246376811594203,11.764705882352942,0.0,0.0,0.0,0.0,
3rd,3.6231884057971016,3.5294117647058822,18.181818181818183,0.0,0.0,0.0,
4th,15.217391304347826,23.529411764705884,9.090909090909092,0.0,0.0,0.0,
5th,6.521739130434782,9.411764705882353,9.090909090909092,0.0,0.0,0.0,
6th,5.797101449275362,8.235294117647058,9.090909090909092,0.0,0.0,0.0,
7th,4.3478260869565215,7.0588235294117645,0.0,0.0,0.0,0.0,
8th,5.797101449275362,8.235294117647058,9.090909090909092,0.0,0.0,0.0,
9th,0.0,0.0,0.0,0.0,0.0,0.0,
10th,2.1739130434782608,3.5294117647058822,0.0,0.0,0.0,0.0,
11th,2.898550724637681,4.705882352941177,0.0,0.0,0.0,0.0,
12th,2.898550724637681,3.5294117647058822,9.090909090909092,0.0,0.0,0.0,
13th,2.898550724637681,4.705882352941177,0.0,0.0,0.0,0.0,
14th,0.0,0.0,0.0,0.0,0.0,0.0,
15th,1.4492753623188406,2.3529411764705883,0.0,0.0,0.0,0.0,
placed,67.3913043478261,100.0,72.72727272727273,0.0,0.0,0.0,
not_placed,32.608695652173914,0.0,27.272727272727273,100.0,100.0,100.0,
