,total,cat1,cat2,cat3,cat4,cat5,cat6
1st,39.31124106562703,65.06550218340611,4.455445544554456,0.0,0.0,0.0,0.0
2nd,2.1442495126705654,3.493449781659389,0.49504950495049505,0.0,0.0,0.0,0.0
3rd,1.6894087069525665,2.8384279475982535,0.0,0.0,0.0,0.0,0.0
4th,2.079272254710851,3.493449781659389,0.0,0.0,0.0,0.0,0.0
5th,1.4294996751137101,2.183406113537118,0.9900990099009901,0.0,0.0,0.0,0.0
6th,0.4548408057179987,0.32751091703056767,1.9801980198019802,0.0,0.0,0.0,0.0
7th,5.39311241065627,8.951965065502183,0.49504950495049505,0.0,0.0,0.0,0.0
8th,1.8193632228719947,2.2925764192139737,3.4653465346534653,0.0,0.0,0.0,0.0
9th,0.1299545159194282,0.0,0.9900990099009901,0.0,0.0,0.0,0.0
10th,2.1442495126705654,0.0,16.336633663366335,0.0,0.0,0.0,0.0
11th,3.4437946718648473,0.1091703056768559,25.742574257425744,0.0,0.0,0.0,0.0
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13th,6.692657569850552,11.244541484716157,0.0,0.0,0.0,0.0,0.0
14th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0
placed,66.73164392462638,100.0,54.95049504950495,0.0,0.0,0.0,0.0
not_placed,33.26835607537362,0.0,45.04950495049505,100.0,100.0,100.0,100.0
